"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"10997","X1029847","X1029843","X1045283","X1029845","X1036140","X1036149","X1045289","X1045288","X1036148","X1045291","X1029858","X1045290","X1029855","X1029853","X1056514","X1029852","X1071723","X1036136","X1036135","X1072835","X1045262","X1045263","X1029822","X1036122","X1029826","X1038263","X1029829","X1029828","X1038261","X1038267","X1056547","X1045269","X1083416","X1036128","X1045267","X1056545","X1029834","X1029833","X1045271","X1029832","X1038253","X1038255","X1000978","X1000976","X1027628","X1000975","X1036180","X1027620","X1027626","X1029887","X1036182","X1000973","X1000972","X1000971","X1029889","X1044112","X1044111","X1029882","X1044110","X1056564","X1045249","X1000987","X1027639","X1006005","X1057680","X1027634","X1045252","X1027635","X1027636","X1036173","X1029897","X1000984","X1044121","X1044120","X1044125","X1072895","X1027630","X1006004","X1006003","X1044128","X1006002","X1006016","X1006019","X1000999","X1000997","X1036160","X1000995","X1029867","X1036164","X1036165","X1000990","X1036166","X1045224","X1045220","X1029860","X1045222","X1006012","X1006015","X1006014","X1006029"
"10998","X1029847","X1029843","X1045283","X1029845","X1036140","X1036149","X1045289","X1045288","X1036148","X1045291","X1029858","X1045290","X1029855","X1029853","X1056514","X1029852","X1071723","X1036136","X1036135","X1072835","X1045262","X1045263","X1029822","X1036122","X1029826","X1038263","X1029829","X1029828","X1038261","X1038267","X1056547","X1045269","X1083416","X1036128","X1045267","X1056545","X1029834","X1029833","X1045271","X1029832","X1038253","X1038255","X1000978","X1000976","X1027628","X1000975","X1036180","X1027620","X1027626","X1029887","X1036182","X1000973","X1000972","X1000971","X1029889","X1044112","X1044111","X1029882","X1044110","X1056564","X1045249","X1000987","X1027639","X1006005","X1057680","X1027634","X1045252","X1027635","X1027636","X1036173","X1029897","X1000984","X1044121","X1044120","X1044125","X1072895","X1027630","X1006004","X1006003","X1044128","X1006002","X1006016","X1006019","X1000999","X1000997","X1036160","X1000995","X1029867","X1036164","X1036165","X1000990","X1036166","X1045224","X1045220","X1029860","X1045222","X1006012","X1006015","X1006014","X1006029"
"10999","X1029847","X1029843","X1045283","X1029845","X1036140","X1036149","X1045289","X1045288","X1036148","X1045291","X1029858","X1045290","X1029855","X1029853","X1056514","X1029852","X1071723","X1036136","X1036135","X1072835","X1045262","X1045263","X1029822","X1036122","X1029826","X1038263","X1029829","X1029828","X1038261","X1038267","X1056547","X1045269","X1083416","X1036128","X1045267","X1056545","X1029834","X1029833","X1045271","X1029832","X1038253","X1038255","X1000978","X1000976","X1027628","X1000975","X1036180","X1027620","X1027626","X1029887","X1036182","X1000973","X1000972","X1000971","X1029889","X1044112","X1044111","X1029882","X1044110","X1056564","X1045249","X1000987","X1027639","X1006005","X1057680","X1027634","X1045252","X1027635","X1027636","X1036173","X1029897","X1000984","X1044121","X1044120","X1044125","X1072895","X1027630","X1006004","X1006003","X1044128","X1006002","X1006016","X1006019","X1000999","X1000997","X1036160","X1000995","X1029867","X1036164","X1036165","X1000990","X1036166","X1045224","X1045220","X1029860","X1045222","X1006012","X1006015","X1006014","X1006029"
"22529","X1029847","X1029843","X1045283","X1029845","X1036140","X1036149","X1045289","X1045288","X1036148","X1045291","X1029858","X1045290","X1029855","X1029853","X1056514","X1029852","X1071723","X1036136","X1036135","X1072835","X1045262","X1045263","X1029822","X1036122","X1029826","X1038263","X1029829","X1029828","X1038261","X1038267","X1056547","X1045269","X1083416","X1036128","X1045267","X1056545","X1029834","X1029833","X1045271","X1029832","X1038253","X1038255","X1000978","X1000976","X1027628","X1000975","X1036180","X1027620","X1027626","X1029887","X1036182","X1000973","X1000972","X1000971","X1029889","X1044112","X1044111","X1029882","X1044110","X1056564","X1045249","X1000987","X1027639","X1006005","X1057680","X1027634","X1045252","X1027635","X1027636","X1036173","X1029897","X1000984","X1044121","X1044120","X1044125","X1072895","X1027630","X1006004","X1006003","X1044128","X1006002","X1006016","X1006019","X1000999","X1000997","X1036160","X1000995","X1029867","X1036164","X1036165","X1000990","X1036166","X1045224","X1045220","X1029860","X1045222","X1006012","X1006015","X1006014","X1006029"
"22528","X1029847","X1029843","X1045283","X1029845","X1036140","X1036149","X1045289","X1045288","X1036148","X1045291","X1029858","X1045290","X1029855","X1029853","X1056514","X1029852","X1071723","X1036136","X1036135","X1072835","X1045262","X1045263","X1029822","X1036122","X1029826","X1038263","X1029829","X1029828","X1038261","X1038267","X1056547","X1045269","X1083416","X1036128","X1045267","X1056545","X1029834","X1029833","X1045271","X1029832","X1038253","X1038255","X1000978","X1000976","X1027628","X1000975","X1036180","X1027620","X1027626","X1029887","X1036182","X1000973","X1000972","X1000971","X1029889","X1044112","X1044111","X1029882","X1044110","X1056564","X1045249","X1000987","X1027639","X1006005","X1057680","X1027634","X1045252","X1027635","X1027636","X1036173","X1029897","X1000984","X1044121","X1044120","X1044125","X1072895","X1027630","X1006004","X1006003","X1044128","X1006002","X1006016","X1006019","X1000999","X1000997","X1036160","X1000995","X1029867","X1036164","X1036165","X1000990","X1036166","X1045224","X1045220","X1029860","X1045222","X1006012","X1006015","X1006014","X1006029"
"22527","X1029847","X1029843","X1045283","X1029845","X1036140","X1036149","X1045289","X1045288","X1036148","X1045291","X1029858","X1045290","X1029855","X1029853","X1056514","X1029852","X1071723","X1036136","X1036135","X1072835","X1045262","X1045263","X1029822","X1036122","X1029826","X1038263","X1029829","X1029828","X1038261","X1038267","X1056547","X1045269","X1083416","X1036128","X1045267","X1056545","X1029834","X1029833","X1045271","X1029832","X1038253","X1038255","X1000978","X1000976","X1027628","X1000975","X1036180","X1027620","X1027626","X1029887","X1036182","X1000973","X1000972","X1000971","X1029889","X1044112","X1044111","X1029882","X1044110","X1056564","X1045249","X1000987","X1027639","X1006005","X1057680","X1027634","X1045252","X1027635","X1027636","X1036173","X1029897","X1000984","X1044121","X1044120","X1044125","X1072895","X1027630","X1006004","X1006003","X1044128","X1006002","X1006016","X1006019","X1000999","X1000997","X1036160","X1000995","X1029867","X1036164","X1036165","X1000990","X1036166","X1045224","X1045220","X1029860","X1045222","X1006012","X1006015","X1006014","X1006029"
"22526","X1029847","X1029843","X1045283","X1029845","X1036140","X1036149","X1045289","X1045288","X1036148","X1045291","X1029858","X1045290","X1029855","X1029853","X1056514","X1029852","X1071723","X1036136","X1036135","X1072835","X1045262","X1045263","X1029822","X1036122","X1029826","X1038263","X1029829","X1029828","X1038261","X1038267","X1056547","X1045269","X1083416","X1036128","X1045267","X1056545","X1029834","X1029833","X1045271","X1029832","X1038253","X1038255","X1000978","X1000976","X1027628","X1000975","X1036180","X1027620","X1027626","X1029887","X1036182","X1000973","X1000972","X1000971","X1029889","X1044112","X1044111","X1029882","X1044110","X1056564","X1045249","X1000987","X1027639","X1006005","X1057680","X1027634","X1045252","X1027635","X1027636","X1036173","X1029897","X1000984","X1044121","X1044120","X1044125","X1072895","X1027630","X1006004","X1006003","X1044128","X1006002","X1006016","X1006019","X1000999","X1000997","X1036160","X1000995","X1029867","X1036164","X1036165","X1000990","X1036166","X1045224","X1045220","X1029860","X1045222","X1006012","X1006015","X1006014","X1006029"
"22525","X1029847","X1029843","X1045283","X1029845","X1036140","X1036149","X1045289","X1045288","X1036148","X1045291","X1029858","X1045290","X1029855","X1029853","X1056514","X1029852","X1071723","X1036136","X1036135","X1072835","X1045262","X1045263","X1029822","X1036122","X1029826","X1038263","X1029829","X1029828","X1038261","X1038267","X1056547","X1045269","X1083416","X1036128","X1045267","X1056545","X1029834","X1029833","X1045271","X1029832","X1038253","X1038255","X1000978","X1000976","X1027628","X1000975","X1036180","X1027620","X1027626","X1029887","X1036182","X1000973","X1000972","X1000971","X1029889","X1044112","X1044111","X1029882","X1044110","X1056564","X1045249","X1000987","X1027639","X1006005","X1057680","X1027634","X1045252","X1027635","X1027636","X1036173","X1029897","X1000984","X1044121","X1044120","X1044125","X1072895","X1027630","X1006004","X1006003","X1044128","X1006002","X1006016","X1006019","X1000999","X1000997","X1036160","X1000995","X1029867","X1036164","X1036165","X1000990","X1036166","X1045224","X1045220","X1029860","X1045222","X1006012","X1006015","X1006014","X1006029"
"22524","X1029847","X1029843","X1045283","X1029845","X1036140","X1036149","X1045289","X1045288","X1036148","X1045291","X1029858","X1045290","X1029855","X1029853","X1056514","X1029852","X1071723","X1036136","X1036135","X1072835","X1045262","X1045263","X1029822","X1036122","X1029826","X1038263","X1029829","X1029828","X1038261","X1038267","X1056547","X1045269","X1083416","X1036128","X1045267","X1056545","X1029834","X1029833","X1045271","X1029832","X1038253","X1038255","X1000978","X1000976","X1027628","X1000975","X1036180","X1027620","X1027626","X1029887","X1036182","X1000973","X1000972","X1000971","X1029889","X1044112","X1044111","X1029882","X1044110","X1056564","X1045249","X1000987","X1027639","X1006005","X1057680","X1027634","X1045252","X1027635","X1027636","X1036173","X1029897","X1000984","X1044121","X1044120","X1044125","X1072895","X1027630","X1006004","X1006003","X1044128","X1006002","X1006016","X1006019","X1000999","X1000997","X1036160","X1000995","X1029867","X1036164","X1036165","X1000990","X1036166","X1045224","X1045220","X1029860","X1045222","X1006012","X1006015","X1006014","X1006029"
"10990","X1029847","X1029843","X1045283","X1029845","X1036140","X1036149","X1045289","X1045288","X1036148","X1045291","X1029858","X1045290","X1029855","X1029853","X1056514","X1029852","X1071723","X1036136","X1036135","X1072835","X1045262","X1045263","X1029822","X1036122","X1029826","X1038263","X1029829","X1029828","X1038261","X1038267","X1056547","X1045269","X1083416","X1036128","X1045267","X1056545","X1029834","X1029833","X1045271","X1029832","X1038253","X1038255","X1000978","X1000976","X1027628","X1000975","X1036180","X1027620","X1027626","X1029887","X1036182","X1000973","X1000972","X1000971","X1029889","X1044112","X1044111","X1029882","X1044110","X1056564","X1045249","X1000987","X1027639","X1006005","X1057680","X1027634","X1045252","X1027635","X1027636","X1036173","X1029897","X1000984","X1044121","X1044120","X1044125","X1072895","X1027630","X1006004","X1006003","X1044128","X1006002","X1006016","X1006019","X1000999","X1000997","X1036160","X1000995","X1029867","X1036164","X1036165","X1000990","X1036166","X1045224","X1045220","X1029860","X1045222","X1006012","X1006015","X1006014","X1006029"
